STATEFIP,YEAR,RPP
5,2016,87.4
6,2016,113.8
8,2016,102.3
9,2016,108.5
10,2016,100
11,2016,116.8
12,2016,99.5
13,2016,92.8
15,2016,119.2
16,2016,93.3
17,2016,99
18,2016,90.1
19,2016,89.9
20,2016,90.2
21,2016,88.7
22,2016,90.5
23,2016,99.1
24,2016,109.6
25,2016,107.6
26,2016,93
27,2016,97.2
28,2016,86.2
29,2016,89.6
30,2016,95.1
31,2016,90.2
32,2016,97.3
33,2016,105.7
34,2016,113.4
35,2016,93.8
36,2016,115.8
37,2016,91.2
38,2016,92
39,2016,89.2
40,2016,89.8
41,2016,98.5
42,2016,98.2
44,2016,99.9
45,2016,90.3
46,2016,88
47,2016,89.9
48,2016,96.7
49,2016,96.4
50,2016,102.7
51,2016,102.6
53,2016,105.2
54,2016,88.7
55,2016,93
56,2016,96.4
1,2017,86.1
2,2017,105.7
4,2017,95.8
5,2017,86.8
6,2017,114.7
8,2017,101.7
9,2017,107.3
10,2017,100
11,2017,114.6
12,2017,100.1
13,2017,92.7
15,2017,118.9
16,2017,92.2
17,2017,98.7
18,2017,89.7
19,2017,90
20,2017,90.1
21,2017,87.5
22,2017,89.9
23,2017,99.4
24,2017,109
25,2017,109.2
26,2017,92.8
27,2017,97.8
28,2017,86
29,2017,89.5
30,2017,93.4
31,2017,90.1
32,2017,96
33,2017,106.8
34,2017,114.1
35,2017,92.4
36,2017,116.4
37,2017,91.3
38,2017,91.4
39,2017,89.1
40,2017,88.7
41,2017,100.5
42,2017,98.1
44,2017,100.6
45,2017,90.7
46,2017,88.3
47,2017,89.6
48,2017,96.6
49,2017,96
50,2017,102.6
51,2017,102.2
53,2017,106.1
54,2017,87.8
55,2017,92.6
56,2017,95.9
1,2018,86.1
2,2018,105
4,2018,96.1
5,2018,86.2
6,2018,115
8,2018,102.2
9,2018,106.8
10,2018,100
11,2018,116
12,2018,100.2
13,2018,92.8
15,2018,118.8
16,2018,92.2
17,2018,98.5
18,2018,89.7
19,2018,90
20,2018,90
21,2018,87.4
22,2018,89.6
23,2018,99
24,2018,109
25,2018,109
26,2018,92.8
27,2018,97.9
28,2018,85.2
29,2018,89.5
30,2018,93.9
31,2018,89.8
32,2018,96.5
33,2018,106.5
34,2018,113.6
35,2018,92.4
36,2018,116
37,2018,91.6
38,2018,90.4
39,2018,88.9
40,2018,88.6
41,2018,100.5
42,2018,97.6
44,2018,99.2
45,2018,90.7
46,2018,88.5
47,2018,89.7
48,2018,96.8
49,2018,95.9
50,2018,103.2
51,2018,102
53,2018,106.8
54,2018,87.2
55,2018,92.4
56,2018,94.5
1,2019,86.4
2,2019,104.8
4,2019,96.5
5,2019,85.3
6,2019,115.4
8,2019,101.9
9,2019,106.1
10,2019,98.8
11,2019,116.1
12,2019,100.6
13,2019,93
15,2019,118.1
16,2019,92.5
17,2019,98.1
18,2019,89.3
19,2019,89.2
20,2019,90
21,2019,87.8
22,2019,89.1
23,2019,100
24,2019,108.4
25,2019,109.7
26,2019,92.4
27,2019,97.5
28,2019,86
29,2019,88.8
30,2019,93.3
31,2019,89.5
32,2019,97.5
33,2019,106
34,2019,115.2
35,2019,91.1
36,2019,116.4
37,2019,91.8
38,2019,90.6
39,2019,88.4
40,2019,88.4
41,2019,101.1
42,2019,97.5
44,2019,99.3
45,2019,91.1
46,2019,87.9
47,2019,89.9
48,2019,96.8
49,2019,96.6
50,2019,103
51,2019,102
53,2019,107.8
54,2019,87.8
55,2019,91.9
56,2019,92.7
