5p,15p,25p,35p,45p,50p,55p,65p,75p,85p,95p
7412.99328,17649.984,26033.7264,34651.331088,42682.073807999994,46600.370255999995,50743.704,66187.44,80991.36408,104293.75545599998,153554.8608
7205.605968,17950.033728,30887.471999999998,41918.712,48537.456,51004.041264,53347.07663999999,64863.691199999994,79791.16516799999,104293.75545599998,164444.900928
7205.605968,17950.033728,30931.596959999995,39712.464,46331.208,49861.2048,55928.3868,67987.73836799999,86939.408688,111194.89919999999,164105.13873599996
8895.591935999999,16767.4848,25243.889615999997,34717.518528,45514.896239999995,48634.530911999995,51705.62812799999,61995.5688,71808.95990399999,98848.73539199999,153554.8608
5736.2447999999995,16767.4848,26033.7264,36138.34224,45232.496496,47037.20735999999,51004.041264,61774.943999999996,74637.36983999998,95654.088288,172087.34399999998
9288.304079999998,18205.958496,30887.471999999998,41159.762687999995,46432.695408,51004.041264,53391.20159999999,66628.68959999998,81326.71377599999,104293.75545599998,164444.900928
8886.766943999999,16079.135423999998,24904.127424000002,34651.331088,43366.010687999995,47037.20735999999,49186.092912,64863.691199999994,79791.16516799999,108812.15135999999,174739.254096
6177.4944,15884.985599999998,24048.103199999998,34165.956528,41036.212799999994,44124.96,47037.20735999999,61841.13143999999,79424.928,98848.73539199999,153554.8608
9164.754192,18633.970608,30865.409519999997,39712.464,45889.958399999996,48537.456,54053.075999999994,66628.68959999998,92662.416,117601.84339199998,164444.900928
8599.954703999998,16079.135423999998,25658.66424,39346.22683199999,44124.96,48219.756288,51705.62812799999,64528.341503999996,71994.284736,95654.088288,133407.404064
7412.99328,17649.984,26033.7264,37417.96608,46331.208,49861.2048,55835.724383999994,67069.9392,88249.92,124494.162144,208269.8112
8886.766943999999,17649.984,31769.971199999996,41962.83695999999,48219.756288,52067.4528,61571.969183999994,71041.18559999998,92662.416,113268.77231999999,164105.13873599996
8599.954703999998,16079.135423999998,26474.976,39712.464,44566.209599999995,48537.456,51983.615375999994,67069.9392,84552.24835199998,113268.77231999999,174739.254096
8895.591935999999,17950.033728,27092.725439999995,41159.762687999995,48219.756288,50831.95391999999,54053.075999999994,67069.9392,82319.52537599999,117601.84339199998,183162.70896
5736.2447999999995,15531.985919999997,25989.601439999995,39346.22683199999,48537.456,52067.4528,57583.0728,71808.95990399999,88249.92,118307.84275199998,183573.071088
9959.003472,21078.493392,30887.471999999998,40594.9632,48144.743855999994,50831.95391999999,55928.3868,67069.9392,88249.92,119812.50388799999,183573.071088
8599.954703999998,17649.984,29082.761135999997,41036.212799999994,47888.819088,50743.704,53347.07663999999,69677.724336,93544.91519999999,119812.50388799999,179513.574768
5736.2447999999995,14525.936832,25243.889615999997,39712.464,46715.095151999994,52067.4528,60407.070239999994,71808.95990399999,88249.92,110149.137648,164105.13873599996
8895.591935999999,18205.958496,30931.596959999995,40153.713599999995,48537.456,51705.62812799999,55098.837552,67069.9392,81189.9264,108966.58871999999,183162.70896
8895.591935999999,19167.882623999998,30887.471999999998,39712.464,44786.8344,49216.980383999995,52949.952,65750.602896,82319.52537599999,113268.77231999999,164586.1008
7412.99328,18633.970608,30865.409519999997,39888.96384,46600.370255999995,48546.28099199999,55928.3868,71808.95990399999,88249.92,118307.84275199998,183162.70896
9729.553679999999,19856.232,30865.409519999997,41808.3996,48537.456,51626.203199999996,55928.3868,71773.659936,90456.16799999999,113268.77231999999,179513.574768
7205.605968,15884.985599999998,27004.47552,39712.464,44786.8344,48537.456,58853.87164799999,69677.724336,88249.92,123549.88799999999,179513.574768
7412.99328,16767.4848,27004.47552,40153.713599999995,48537.456,53347.07663999999,61704.344064,71808.95990399999,81326.71377599999,113268.77231999999,174739.254096
5736.2447999999995,17649.984,26033.7264,39712.464,47037.20735999999,49216.980383999995,52949.952,71041.18559999998,88249.92,113935.05921599998,172087.34399999998
7412.99328,16767.4848,30746.272127999997,40594.9632,46600.370255999995,50973.153792,58853.87164799999,67069.9392,92662.416,123549.88799999999,174739.254096
8599.954703999998,17950.033728,30931.596959999995,41962.83695999999,48537.456,52949.952,61704.344064,73909.30799999999,93544.91519999999,118307.84275199998,179513.574768
10700.3028,18633.970608,30887.471999999998,40594.9632,48537.456,51004.041264,53391.20159999999,65750.602896,79424.928,115122.02064,164586.1008
7412.99328,15567.285888,26033.7264,36226.59216,41962.83695999999,46331.208,52949.952,71041.18559999998,93544.91519999999,117601.84339199998,172087.34399999998
